Test Time / s,Unix Time / s,Voltage / V,Current / A,Cycle Count / 1,Ambient Temperature / degC,Power / W,Capacity / %
4.76837158203125e-06,1780765527,3.7,-0.0,0,25.0,-0.0,59.55809334657398
5.245208740234375e-06,1780766154,3.7,-0.0,0,25.0,-0.0,59.55809334657398
60.00147771835327,1780766214,3.7,-0.0,0,25.0,-0.0,59.55809334657398
120.00225710868835,1780766274,3.7,-0.0,0,25.0,-0.0,59.55809334657398
180.0035858154297,1780766334,3.7,-0.0,0,25.0,-0.0,59.55809334657398
240.00483298301697,1780766394,3.7,-0.0,0,25.0,-0.0,59.55809334657398
6.198883056640625e-06,1780844115,3.7,-0.0,0,25.0,-0.0,59.5972153157633
8.821487426757812e-06,1780844145,3.7,-0.0,0,25.0,-0.0,59.5972153157633
60.00203800201416,1780844205,3.7,-0.0,0,25.0,-0.0,59.5972153157633
120.00292468070984,1780844265,3.7,-0.0,0,25.0,-0.0,59.5972153157633
180.0041046142578,1780844325,3.7,-0.0,0,25.0,-0.0,59.5972153157633
240.0050504207611,1780844385,3.7,-0.0,0,25.0,-0.0,59.5972153157633
300.0062937736511,1780844445,3.7,-0.0,0,25.0,-0.0,59.5972153157633
360.0075159072876,1780844505,3.7,-0.0,0,25.0,-0.0,59.5972153157633
420.0086190700531,1780844565,3.7,-0.0,0,25.0,-0.0,59.5972153157633
480.009889125824,1780844625,3.7,-0.0,0,25.0,-0.0,59.5972153157633
540.0110108852386,1780844685,3.7,-0.0,0,25.0,-0.0,59.5972153157633
600.0122470855713,1780844745,3.7,-0.0,0,25.0,-0.0,59.5972153157633
660.0135507583618,1780844805,3.7,-0.0,0,25.0,-0.0,59.5972153157633
720.0147521495819,1780844865,3.7,-0.0,0,25.0,-0.0,59.5972153157633
780.0157175064087,1780844925,3.7,-0.0,0,25.0,-0.0,59.5972153157633
840.0167148113251,1780844985,3.7,-0.0,0,25.0,-0.0,59.5972153157633
900.0178136825562,1780845045,3.7,-0.0,0,25.0,-0.0,59.5972153157633
960.0185632705688,1780845105,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1020.0198743343353,1780845165,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1080.0211334228516,1780845225,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1140.0224533081055,1780845285,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1200.023542881012,1780845345,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1260.0242626667023,1780845405,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1320.0255780220032,1780845465,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1380.0268385410309,1780845525,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1440.0280363559723,1780845585,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1500.0287330150604,1780845645,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1560.0299050807953,1780845705,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1620.0310609340668,1780845765,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1680.0323491096497,1780845825,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1740.0335354804993,1780845885,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1800.0347521305084,1780845945,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1860.0359127521515,1780846005,3.7,-0.0,0,25.0,-0.0,59.5972153157633
1920.0365722179413,1780846065,3.7,-0.0,0,25.0,-0.0,59.5972153157633
9.298324584960938e-06,1780846171,3.7,-0.0,0,25.0,-0.0,59.5972153157633
60.531490087509155,1780846231,3.7,-0.0,0,25.0,-0.0,59.5972153157633
120.5322778224945,1780846291,3.7,-0.0,0,25.0,-0.0,59.5972153157633
180.5333812236786,1780846351,3.7,-0.0,0,25.0,-0.0,59.5972153157633
9.059906005859375e-06,1780993980,3.7,0.0,0,25.0,0.0,51.578424061645535
10860.151364088058,1781004840,3.7,0.0,0,25.0,0.0,53.790703455132984
10920.15222120285,1781004900,3.7,0.0,0,25.0,0.0,55.95326870494656
10980.15334224701,1781004960,3.7,0.0,0,25.0,0.0,57.79269202087994
11040.15451335907,1781005020,3.7,0.0,0,25.0,0.0,59.60725826497639
11100.155514240265,1781005080,3.7,0.0,0,25.0,0.0,61.44668158090977
11160.156561374664,1781005140,3.7,0.0,0,25.0,0.0,63.16181953765847
11220.157815694809,1781005200,3.7,0.0,0,25.0,0.0,64.75267213522247
11280.158749818802,1781005260,3.7,0.0,0,25.0,0.0,66.34352473278648
11340.159973859787,1781005320,3.7,0.0,0,25.0,0.0,67.78523489932886
11400.161091804504,1781005380,3.7,0.0,0,25.0,0.0,69.15237385036043
11460.162305116653,1781005440,3.7,0.0,0,25.0,0.0,70.3206562266965
11520.16347527504,1781005500,3.7,0.0,0,25.0,0.0,71.56350981854338
11580.164637804031,1781005560,3.7,0.0,0,25.0,0.0,72.8312204822272
11640.165806531906,1781005620,3.7,0.0,0,25.0,0.0,74.04921700223714
11700.166821479797,1781005680,3.7,0.0,0,25.0,0.0,75.31692766592096
11760.167461156845,1781005740,3.7,0.0,0,25.0,0.0,76.55978125776784
11820.168731212616,1781005800,3.7,0.0,0,25.0,0.0,77.85234899328859
11880.16994547844,1781005860,3.7,0.0,0,25.0,0.0,79.07034551329853
11940.17124581337,1781005920,3.7,0.0,0,25.0,0.0,80.36291324881928
12000.172472715378,1781005980,3.7,0.0,0,25.0,0.0,81.58090976882923
12060.173786878586,1781006040,3.7,0.0,0,25.0,0.0,82.79890628883918
12120.175100564957,1781006100,3.7,0.0,0,25.0,0.0,84.01690280884912
12180.176299571991,1781006160,3.7,0.0,0,25.0,0.0,85.25975640069599
12240.177613973618,1781006220,3.7,0.0,0,25.0,0.0,86.47775292070594
12300.178919792175,1781006280,3.7,0.0,0,25.0,0.0,87.67089236887895
12360.18018579483,1781006340,3.7,0.0,0,25.0,0.0,88.86403181705195
12420.181561231613,1781006400,3.7,0.0,0,25.0,0.0,89.90802883420334
12480.182883262634,1781006460,3.7,0.0,0,25.0,0.0,90.92716877951777
12540.184191465378,1781006520,3.7,0.0,0,25.0,0.0,91.84688043748446
12600.18535208702,1781006580,3.7,0.0,0,25.0,0.0,92.71687795177728
12660.186285495758,1781006640,3.7,0.0,0,25.0,0.0,93.46259010688541
12720.187436819077,1781006700,3.7,0.0,0,25.0,0.0,94.20830226199354
12780.188178539276,1781006760,3.7,0.0,0,25.0,0.0,94.92915734526473
12840.188913345337,1781006820,3.7,0.0,0,25.0,0.0,95.55058414118817
12900.189878225327,1781006880,3.7,0.0,0,25.0,0.0,96.17201093711161
12960.191169261932,1781006940,3.7,0.0,0,25.0,0.0,96.74372358936117
13020.192331314087,1781007000,3.7,0.0,0,25.0,0.0,97.24086502609993
13080.193430662155,1781007060,3.7,0.0,0,25.0,0.0,97.76286353467562
13140.194698810577,1781007120,3.7,0.0,0,25.0,0.0,98.23514789957743
13200.19595861435,1781007180,3.7,0.0,0,25.0,0.0,98.65771812080537
13260.197264909744,1781007240,3.7,0.0,0,25.0,0.0,99.08028834203331
13320.198514699936,1781007300,3.7,0.0,0,25.0,0.0,99.42828734775044
13380.199832201004,1781007360,3.7,0.0,0,25.0,0.0,99.77628635346755
13440.201083660126,1781007420,3.7,0.0,0,25.0,0.0,99.97514292816307
13500.20226097107,1781007480,3.7,0.0,0,25.0,0.0,99.97514292816307
13560.203442335129,1781007540,3.7,0.0,0,25.0,0.0,99.97514292816307
13620.204704523087,1781007600,3.7,0.0,0,25.0,0.0,99.97514292816307
13680.206004858017,1781007660,3.7,0.0,0,25.0,0.0,99.97514292816307
13740.207184314728,1781007720,3.7,0.0,0,25.0,0.0,99.97514292816307
13800.2084877491,1781007780,3.7,0.0,0,25.0,0.0,99.97514292816307
13860.209684848785,1781007840,3.7,0.0,0,25.0,0.0,99.97514292816307
13920.21114397049,1781007900,3.7,0.0,0,25.0,0.0,99.97514292816307
13980.212295532227,1781007960,3.7,0.0,0,25.0,0.0,99.97514292816307
14040.21305346489,1781008020,3.7,0.0,0,25.0,0.0,99.97514292816307
14100.214175224304,1781008080,3.7,0.0,0,25.0,0.0,99.97514292816307
14160.214760303497,1781008140,3.7,0.0,0,25.0,0.0,99.97514292816307
14220.216198921204,1781008200,3.7,0.0,0,25.0,0.0,99.97514292816307
14280.217496156693,1781008260,3.7,0.0,0,25.0,0.0,99.97514292816307
14340.218799114227,1781008320,3.7,0.0,0,25.0,0.0,99.97514292816307
14400.220007896423,1781008380,3.7,0.0,0,25.0,0.0,99.97514292816307
14460.221284866333,1781008440,3.7,0.0,0,25.0,0.0,99.97514292816307
14520.222533941269,1781008500,3.7,0.0,0,25.0,0.0,99.97514292816307
14580.223754167557,1781008560,3.7,0.0,0,25.0,0.0,99.97514292816307
14640.22443151474,1781008620,3.7,0.0,0,25.0,0.0,99.97514292816307
14700.225677251816,1781008680,3.7,0.0,0,25.0,0.0,99.97514292816307
14760.2268512249,1781008740,3.7,0.0,0,25.0,0.0,99.97514292816307
14820.227961540222,1781008800,3.7,0.0,0,25.0,0.0,99.97514292816307
14880.229091405869,1781008860,3.7,0.0,0,25.0,0.0,99.97514292816307
14940.230321407318,1781008920,3.7,0.0,0,25.0,0.0,100.0
15000.231510162354,1781008980,3.7,0.0,0,25.0,0.0,100.0
15060.232605218887,1781009040,3.7,0.0,0,25.0,0.0,100.0
15120.233780145645,1781009100,3.7,0.0,0,25.0,0.0,100.0
15180.234863042831,1781009160,3.7,0.0,0,25.0,0.0,100.0
15240.235615968704,1781009220,3.7,0.0,0,25.0,0.0,100.0
15300.236817359924,1781009280,3.7,0.0,0,25.0,0.0,100.0
15360.237958431244,1781009340,3.7,0.0,0,25.0,0.0,100.0
15420.23928809166,1781009400,3.7,0.0,0,25.0,0.0,100.0
15480.240565299988,1781009460,3.7,0.0,0,25.0,0.0,100.0
15540.241765975952,1781009520,3.7,0.0,0,25.0,0.0,100.0
15600.243000984192,1781009580,3.7,0.0,0,25.0,0.0,100.0
15660.244275331497,1781009640,3.7,0.0,0,25.0,0.0,100.0
15720.245738744736,1781009700,3.7,0.0,0,25.0,0.0,100.0
15780.246880531311,1781009760,3.7,0.0,0,25.0,0.0,100.0
15840.247817277908,1781009820,3.7,0.0,0,25.0,0.0,100.0
15900.248875141144,1781009880,3.7,0.0,0,25.0,0.0,100.0
15960.249807834625,1781009940,3.7,0.0,0,25.0,0.0,100.0
16020.250382900238,1781010000,3.7,0.0,0,25.0,0.0,100.0
16080.251521348953,1781010060,3.7,0.0,0,25.0,0.0,100.0
16140.25264954567,1781010120,3.7,0.0,0,25.0,0.0,100.0
16200.253294229507,1781010180,3.7,0.0,0,25.0,0.0,100.0
16260.254465341568,1781010240,3.7,0.0,0,25.0,0.0,100.0
16320.255256175995,1781010300,3.7,0.0,0,25.0,0.0,100.0
16380.256357431412,1781010360,3.7,0.0,0,25.0,0.0,100.0
16440.25761795044,1781010420,3.7,0.0,0,25.0,0.0,100.0
16500.258807897568,1781010480,3.7,0.0,0,25.0,0.0,100.0
16560.260004281998,1781010540,3.7,0.0,0,25.0,0.0,100.0
16620.26126241684,1781010600,3.7,0.0,0,25.0,0.0,100.0
16680.26232123375,1781010660,3.7,0.0,0,25.0,0.0,100.0
16740.263482809067,1781010720,3.7,0.0,0,25.0,0.0,100.0
16800.264610528946,1781010780,3.7,0.0,0,25.0,0.0,100.0
16860.26523375511,1781010840,3.7,0.0,0,25.0,0.0,100.0
16920.266342163086,1781010900,3.7,0.0,0,25.0,0.0,100.0
16980.267161607742,1781010960,3.7,0.0,0,25.0,0.0,100.0
17040.268223762512,1781011020,3.7,0.0,0,25.0,0.0,100.0
17100.269327878952,1781011080,3.7,0.0,0,25.0,0.0,100.0
17160.27044248581,1781011140,3.7,0.0,0,25.0,0.0,100.0
17220.271555423737,1781011200,3.7,0.0,0,25.0,0.0,100.0
17280.272805690765,1781011260,3.7,0.0,0,25.0,0.0,100.0
17340.273995161057,1781011320,3.7,0.0,0,25.0,0.0,100.0
17400.27511739731,1781011380,3.7,0.0,0,25.0,0.0,100.0
17460.276033639908,1781011440,3.7,0.0,0,25.0,0.0,100.0
17520.27685570717,1781011500,3.7,0.0,0,25.0,0.0,100.0
17580.27798295021,1781011560,3.7,0.0,0,25.0,0.0,100.0
17640.278829813004,1781011620,3.7,0.0,0,25.0,0.0,100.0
17700.279567718506,1781011680,3.7,0.0,0,25.0,0.0,100.0
17760.28022503853,1781011740,3.7,0.0,0,25.0,0.0,100.0
17820.281564235687,1781011800,3.7,0.0,0,25.0,0.0,100.0
17880.28271317482,1781011860,3.7,0.0,0,25.0,0.0,100.0
17940.283566236496,1781011920,3.7,0.0,0,25.0,0.0,100.0
18000.28498649597,1781011980,3.7,0.0,0,25.0,0.0,100.0
